Median Price 2009,Inflated Median Price 2009,Median Price 2019,Percent Change
"$588,050.00","$700,779.18","$1,007,150.00",43.72%
"$127,400.00","$151,822.58","$392,450.00",158.49%
"$100,400.00","$119,646.68","$365,650.00",205.61%
"$220,100.00","$262,293.17","$438,450.00",67.16%
"$105,100.00","$125,247.67","$475,850.00",279.93%
"$250,550.00","$298,580.43","$669,750.00",124.31%
"$326,800.00","$389,447.56","$773,500.00",98.61%
"$599,100.00","$713,947.47","$845,500.00",18.43%
"$614,100.00","$731,822.97","$1,244,150.00",70.01%
"$967,100.00","$1,152,493.07","$1,857,000.00",61.13%
"$357,750.00","$426,330.67","$764,950.00",79.43%
"$257,400.00","$306,743.58","$579,050.00",88.77%
"$896,950.00","$1,068,895.31","$1,755,850.00",64.27%
"$418,700.00","$498,964.79","$973,800.00",95.16%
"$514,900.00","$613,606.33","$1,166,600.00",90.12%
"$290,000.00","$345,593.00","$762,700.00",120.69%
"$352,550.00","$420,133.84","$823,600.00",96.03%
"$262,050.00","$312,284.98","$672,450.00",115.33%
"$500,250.00","$596,147.93","$1,078,650.00",80.94%
"$838,050.00","$998,704.18","$1,494,500.00",49.64%
"$392,200.00","$467,384.74","$836,550.00",78.99%
"$592,250.00","$705,784.32","$1,215,900.00",72.28%
"$616,250.00","$734,385.12","$1,307,950.00",78.10%
"$459,150.00","$547,169.05","$984,550.00",79.94%
"$743,250.00","$885,731.03","$1,592,150.00",79.76%
"$454,800.00","$541,985.16","$1,021,300.00",88.44%
"$466,750.00","$556,225.97","$1,091,700.00",96.27%
"$635,500.00","$757,325.35","$868,800.00",14.72%
"$462,250.00","$550,863.32","$900,800.00",63.53%
"$86,800.00","$103,439.56","$263,450.00",154.69%
"$55,150.00","$65,722.26","$206,800.00",214.66%
"$175,100.00","$208,666.67","$351,700.00",68.55%
"$143,750.00","$171,306.88","$296,700.00",73.20%
"$154,900.00","$184,594.33","$388,750.00",110.60%
"$205,650.00","$245,073.11","$453,300.00",84.97%
"$107,450.00","$128,048.16","$259,150.00",102.38%
"$184,450.00","$219,809.07","$339,400.00",54.41%
"$124,350.00","$148,187.89","$298,000.00",101.10%
"$169,200.00","$201,635.64","$339,200.00",68.22%
"$158,450.00","$188,824.86","$341,350.00",80.78%
"$124,200.00","$148,009.14","$301,900.00",103.97%
"$198,550.00","$236,612.04","$358,350.00",51.45%
"$311,800.00","$371,572.06","$594,100.00",59.89%
"$190,100.00","$226,542.17","$279,450.00",23.35%
"$226,750.00","$270,217.97","$264,600.00",-2.08%
"$249,750.00","$297,627.08","$299,150.00",0.51%
"$270,200.00","$321,997.34","$343,650.00",6.72%
"$295,950.00","$352,683.61","$480,500.00",36.24%
"$240,650.00","$286,782.60","$399,300.00",39.23%
"$190,100.00","$226,542.17","$359,850.00",58.84%
"$259,300.00","$309,007.81","$438,150.00",41.79%
"$233,100.00","$277,785.27","$429,550.00",54.63%
"$241,000.00","$287,199.70","$431,400.00",50.21%
"$358,900.00","$427,701.13","$544,800.00",27.38%
"$268,450.00","$319,911.86","$470,650.00",47.12%
"$97,400.00","$116,071.58","$259,700.00",123.74%
"$311,750.00","$371,512.47","$512,800.00",38.03%
"$214,350.00","$255,440.89","$386,600.00",51.35%
"$249,400.00","$297,209.98","$395,050.00",32.92%
"$170,050.00","$202,648.58","$340,000.00",67.78%
"$133,850.00","$159,509.04","$303,100.00",90.02%
"$223,900.00","$266,821.63","$387,000.00",45.04%
"$219,400.00","$261,458.98","$428,250.00",63.79%
"$270,550.00","$322,414.43","$495,150.00",53.58%
"$234,450.00","$279,394.07","$396,050.00",41.75%
"$194,600.00","$231,904.82","$377,150.00",62.63%
"$527,350.00","$628,442.99","$810,350.00",28.95%
"$304,350.00","$362,693.90","$485,850.00",33.96%
